report	file	module	status
variants/qc_raw/R1_fastqc.zip	R1.fastq.gz	Per tile sequence quality	WARN
variants/qc_raw/R1_fastqc.zip	R1.fastq.gz	Per sequence quality scores	PASS
variants/qc_raw/R1_fastqc.zip	R1.fastq.gz	Per base sequence content	PASS
variants/qc_raw/R1_fastqc.zip	R1.fastq.gz	Per sequence GC content	FAIL
variants/qc_raw/R1_fastqc.zip	R1.fastq.gz	Per base N content	PASS
variants/qc_raw/R1_fastqc.zip	R1.fastq.gz	Sequence Length Distribution	PASS
variants/qc_raw/R1_fastqc.zip	R1.fastq.gz	Sequence Duplication Levels	PASS
variants/qc_raw/R1_fastqc.zip	R1.fastq.gz	Overrepresented sequences	WARN
variants/qc_raw/R1_fastqc.zip	R1.fastq.gz	Adapter Content	PASS
variants/qc_raw/R2_fastqc.zip	R2.fastq.gz	Basic Statistics	PASS
variants/qc_raw/R2_fastqc.zip	R2.fastq.gz	Per base sequence quality	FAIL
variants/qc_raw/R2_fastqc.zip	R2.fastq.gz	Per tile sequence quality	WARN
variants/qc_raw/R2_fastqc.zip	R2.fastq.gz	Per sequence quality scores	PASS
variants/qc_raw/R2_fastqc.zip	R2.fastq.gz	Per base sequence content	PASS
variants/qc_raw/R2_fastqc.zip	R2.fastq.gz	Per sequence GC content	FAIL
variants/qc_raw/R2_fastqc.zip	R2.fastq.gz	Per base N content	PASS
variants/qc_raw/R2_fastqc.zip	R2.fastq.gz	Sequence Length Distribution	PASS
variants/qc_raw/R2_fastqc.zip	R2.fastq.gz	Sequence Duplication Levels	PASS
variants/qc_raw/R2_fastqc.zip	R2.fastq.gz	Overrepresented sequences	WARN
variants/qc_raw/R2_fastqc.zip	R2.fastq.gz	Adapter Content	PASS
